[03/12/2012 20:07:01] /t
[03/12/2012 20:07:21] /attr group 3
[03/12/2012 20:07:55] /attr group 3
[03/12/2012 20:08:05] /attr group 4
[03/12/2012 20:09:21] /i golden legs
[03/12/2012 20:09:34] /i magic plate legs '
[03/12/2012 20:09:36] /i magic plate legs 
[03/12/2012 20:09:45] /i magic plate armor
[03/12/2012 20:09:58] /i boots of haste
[03/12/2012 20:10:08] /i demon helmet
[03/12/2012 20:12:06] /attr group 5
[03/12/2012 22:08:31] /goto hydra
[04/12/2012 22:39:02] /a 1
[04/12/2012 22:39:02] /a 1
[04/12/2012 22:39:02] /a 1
[04/12/2012 22:39:02] /a 1
[04/12/2012 22:39:02] /a 1
[04/12/2012 22:39:02] /a 1
[04/12/2012 22:39:02] /a 1
[04/12/2012 22:39:02] /a 1
[04/12/2012 22:39:02] /a 1
[04/12/2012 22:39:03] /a 1
[04/12/2012 22:39:03] /a 1
[04/12/2012 22:39:03] /a 1
[04/12/2012 22:39:03] /a 1
[04/12/2012 22:39:03] /a 1
[04/12/2012 22:39:03] /a 1
[04/12/2012 22:39:03] /a 1
[04/12/2012 22:39:03] /a 1
[04/12/2012 22:39:03] /a 1
[04/12/2012 22:39:03] /a 1
[04/12/2012 22:39:03] /a 1
[04/12/2012 22:39:03] /a 1
[04/12/2012 22:39:03] /a 1
[04/12/2012 22:39:03] /a 1
[04/12/2012 22:39:03] /a 1
[04/12/2012 22:39:04] /a 1
[04/12/2012 22:39:04] /a 1
[04/12/2012 22:39:04] /a 1
[04/12/2012 22:39:04] /a 1
[04/12/2012 22:39:04] /a 1
[04/12/2012 22:39:04] /a 1
[04/12/2012 22:39:04] /a 1
[04/12/2012 22:39:04] /a 1
[04/12/2012 22:39:04] /a 1
[04/12/2012 22:39:04] /a 1
[04/12/2012 22:39:04] /a 1
[04/12/2012 22:39:04] /a 1
[04/12/2012 22:39:04] /a 1
[04/12/2012 22:39:05] /a 1
[04/12/2012 22:39:05] /a 1
[04/12/2012 22:39:05] /a 1
[04/12/2012 22:39:05] /a 1
[04/12/2012 22:39:05] /a 1
[04/12/2012 22:39:05] /a 1
[04/12/2012 22:39:05] /a 1
[04/12/2012 22:39:05] /a 1
[04/12/2012 22:39:05] /a 1
[04/12/2012 22:39:05] /a 1
[04/12/2012 22:39:05] /a 1
[04/12/2012 22:39:05] /a 1
[04/12/2012 22:39:05] /a 1
[04/12/2012 22:39:05] /a 1
[04/12/2012 22:39:05] /a 1
[04/12/2012 22:39:06] /a 1
[04/12/2012 22:39:06] /a 1
[04/12/2012 22:39:06] /a 1
[04/12/2012 22:39:06] /a 1
[04/12/2012 22:39:06] /a 1
[04/12/2012 22:39:06] /a 1
[04/12/2012 22:39:06] /a 1
[04/12/2012 22:39:06] /a 1
[04/12/2012 22:39:06] /a 1
[04/12/2012 22:39:06] /a 1
[04/12/2012 22:39:06] /a 1
[04/12/2012 22:39:06] /a 1
[04/12/2012 22:39:06] /a 1
[04/12/2012 22:39:06] /a 1
[04/12/2012 22:39:06] /a 1
[04/12/2012 22:39:07] /a 1
[04/12/2012 22:39:07] /a 1
[04/12/2012 22:39:07] /a 1
[04/12/2012 22:39:07] /a 1
[04/12/2012 22:39:07] /a 1
[04/12/2012 22:39:07] /a 1
[04/12/2012 22:39:07] /a 1
[04/12/2012 22:39:07] /a 1
[04/12/2012 22:39:07] /a 1
[04/12/2012 22:39:07] /a 1
[04/12/2012 22:39:07] /a 1
[04/12/2012 22:39:07] /a 1
[04/12/2012 22:39:07] /a 1
[04/12/2012 22:39:07] /a 1
[04/12/2012 22:39:07] /a 1
[04/12/2012 22:39:08] /a 1
[04/12/2012 22:39:08] /a 1
[04/12/2012 22:39:08] /a 1
[04/12/2012 22:39:08] /a 1
[04/12/2012 22:39:08] /a 1
[04/12/2012 22:39:08] /a 1
[04/12/2012 22:39:08] /a 1
[04/12/2012 22:39:08] /a 1
[04/12/2012 22:39:08] /a 1
[04/12/2012 22:39:08] /a 1
[04/12/2012 22:39:08] /a 1
[04/12/2012 22:39:08] /a 1
[04/12/2012 22:39:08] /a 1
[04/12/2012 22:39:09] /a 1
[04/12/2012 22:39:09] /a 1
[04/12/2012 22:39:09] /a 1
[04/12/2012 22:39:09] /a 1
[04/12/2012 22:39:09] /a 1
[04/12/2012 22:39:09] /a 1
[04/12/2012 22:39:09] /a 1
[04/12/2012 22:39:09] /a 1
[04/12/2012 22:39:09] /a 1
[04/12/2012 22:39:09] /a 1
[04/12/2012 22:39:09] /a 1
[04/12/2012 22:39:09] /a 1
[04/12/2012 22:39:09] /a 1
[04/12/2012 22:39:09] /a 1
[04/12/2012 22:39:10] /a 1
[04/12/2012 22:39:10] /a 1
[04/12/2012 22:39:10] /a 1
[04/12/2012 22:39:10] /a 1
[04/12/2012 22:39:10] /a 1
[04/12/2012 22:39:10] /a 1
[04/12/2012 22:39:10] /a 1
[04/12/2012 22:39:10] /a 1
[04/12/2012 22:39:10] /a 1
[04/12/2012 22:39:10] /a 1
[04/12/2012 22:39:10] /a 1
[04/12/2012 22:39:10] /a 1
[04/12/2012 22:39:12] /a 1
[04/12/2012 22:39:12] /a 1
[04/12/2012 22:39:12] /a 1
[04/12/2012 22:39:12] /a 1
[04/12/2012 22:39:12] /a 1
[04/12/2012 22:39:12] /a 1
[04/12/2012 22:39:13] /a 1
[04/12/2012 22:39:13] /a 1
[04/12/2012 22:39:13] /a 1
[04/12/2012 22:39:13] /a 1
[04/12/2012 22:39:13] /a 1
[04/12/2012 22:39:13] /a 1
[04/12/2012 22:39:13] /a 1
[04/12/2012 22:39:13] /a 1
[04/12/2012 22:39:13] /a 1
[04/12/2012 22:39:13] /a 1
[04/12/2012 22:39:13] /a 1
[04/12/2012 22:39:13] /a 1
[04/12/2012 22:39:13] /a 1
[04/12/2012 22:39:13] /a 1
[04/12/2012 22:39:13] /a 1
[04/12/2012 22:39:14] /a 1
[04/12/2012 22:39:14] /a 1
[04/12/2012 22:39:14] /a 1
[04/12/2012 22:39:14] /a 1
[04/12/2012 22:39:14] /a 1
[04/12/2012 22:39:14] /a 1
[04/12/2012 22:39:14] /a 1
[04/12/2012 22:39:14] /a 1
[04/12/2012 22:39:14] /a 1
[04/12/2012 22:39:14] /a 1
[04/12/2012 22:39:14] /a 1
[04/12/2012 22:39:14] /a 1
[04/12/2012 22:39:14] /a 1
[04/12/2012 22:39:15] /a 1
[04/12/2012 22:39:15] /a 1
[04/12/2012 22:39:15] /a 1
[04/12/2012 22:39:15] /a 1
[04/12/2012 22:39:15] /a 1
[04/12/2012 22:39:15] /a 1
[04/12/2012 22:39:15] /a 1
[04/12/2012 22:39:15] /a 1
[04/12/2012 22:39:15] /a 1
[04/12/2012 22:39:15] /a 1
[04/12/2012 22:39:15] /a 1
[04/12/2012 22:39:15] /a 1
[04/12/2012 22:39:15] /a 1
[04/12/2012 22:39:15] /a 1
[04/12/2012 22:39:16] /a 1
[04/12/2012 22:39:16] /a 1
[04/12/2012 22:39:16] /a 1
[04/12/2012 22:39:16] /a 1
[04/12/2012 22:39:16] /a 1
[04/12/2012 22:39:16] /a 1
[04/12/2012 22:39:16] /a 1
[04/12/2012 22:39:16] /a 1
[04/12/2012 22:39:16] /a 1
[04/12/2012 22:39:16] /a 1
[04/12/2012 22:39:16] /a 1
[04/12/2012 22:39:16] /a 1
[04/12/2012 22:39:16] /a 1
[04/12/2012 22:39:16] /a 1
[04/12/2012 22:39:17] /a 1
[04/12/2012 22:39:17] /a 1
[04/12/2012 22:39:17] /a 1
[04/12/2012 22:39:17] /a 1
[04/12/2012 22:39:17] /a 1
[04/12/2012 22:39:17] /a 1
[04/12/2012 22:39:17] /a 1
[04/12/2012 22:39:17] /a 1
[04/12/2012 22:39:17] /a 1
[04/12/2012 22:39:17] /a 1
[04/12/2012 22:39:17] /a 1
[04/12/2012 22:39:17] /a 1
[04/12/2012 22:39:17] /a 1
[04/12/2012 22:39:18] /a 1
[04/12/2012 22:39:18] /a 1
[04/12/2012 22:39:18] /a 1
[04/12/2012 22:39:18] /a 1
[04/12/2012 22:39:18] /a 1
[04/12/2012 22:39:18] /a 1
[04/12/2012 22:39:18] /a 1
[04/12/2012 22:39:18] /a 1
[04/12/2012 22:39:18] /a 1
[04/12/2012 22:39:18] /a 1
[04/12/2012 22:39:18] /a 1
[04/12/2012 22:39:18] /a 1
[04/12/2012 22:39:18] /a 1
[04/12/2012 22:39:18] /a 1
[04/12/2012 22:39:32] /a 1
[06/12/2012 19:20:13] /goto hydra
[06/12/2012 19:20:28] /a 1
[06/12/2012 19:20:42] /down
[06/12/2012 19:20:46] /a 1
[06/12/2012 19:20:49] /a 1
[06/12/2012 19:20:57] /down
[06/12/2012 19:21:02] /a 1
[06/12/2012 19:21:03] /a 1
[06/12/2012 19:21:04] /a 1
[06/12/2012 19:21:09] /r
[06/12/2012 19:21:10] /r
[06/12/2012 19:21:11] /r
[06/12/2012 19:21:12] /r
[06/12/2012 19:21:21] /a 1
[06/12/2012 19:21:22] /a 1
[06/12/2012 19:21:24] /a 1
[06/12/2012 19:21:25] /a 1
[06/12/2012 19:21:28] /a 1
[06/12/2012 19:21:30] /a 1
[06/12/2012 19:21:31] /a 1
[06/12/2012 19:21:32] /a 1
[06/12/2012 19:21:33] /t
[06/12/2012 19:23:40] /t
[06/12/2012 19:32:05] /a 1
[06/12/2012 19:32:06] /a 1
[06/12/2012 19:42:04] /goto hydra
[06/12/2012 19:42:37] /down
[06/12/2012 19:42:39] /a 1
[06/12/2012 19:42:44] /a 1
[06/12/2012 19:49:29] /a 1
[06/12/2012 19:49:44] /goto hydra
[06/12/2012 19:49:53] /t
[06/12/2012 19:54:14] /t
[06/12/2012 20:06:04] /goto hydra
[06/12/2012 20:09:27] /t
[06/12/2012 20:13:58] /goto hydra
[06/12/2012 20:14:07] /t
[06/12/2012 20:14:10] /a 1
[06/12/2012 20:14:11] /a 1
[06/12/2012 20:14:11] /a 1
[06/12/2012 20:14:11] /a 1
[06/12/2012 20:14:11] /a 1
[06/12/2012 20:14:11] /a 1
[06/12/2012 20:14:11] /a 1
[06/12/2012 20:14:11] /a 1
[06/12/2012 20:14:12] /a 1
[06/12/2012 20:14:12] /a 1
[06/12/2012 20:14:12] /a 1
[06/12/2012 20:14:12] /a 1
[06/12/2012 20:14:12] /a 1
[06/12/2012 20:14:12] /a 1
[06/12/2012 20:14:12] /a 1
[06/12/2012 20:14:12] /a 1
[06/12/2012 20:14:13] /a 1
[06/12/2012 20:14:13] /a 1
[06/12/2012 20:14:13] /a 1
[06/12/2012 20:14:13] /a 1
[06/12/2012 20:14:13] /a 1
[06/12/2012 20:14:13] /a 1
[06/12/2012 20:14:13] /a 1
[06/12/2012 20:14:13] /a 1
[06/12/2012 20:14:13] /a 1
[06/12/2012 20:14:13] /a 1
[06/12/2012 20:14:13] /a 1
[06/12/2012 20:14:13] /a 1
[06/12/2012 20:14:13] /a 1
[06/12/2012 20:14:13] /a 1
[06/12/2012 20:14:14] /a 1
[06/12/2012 20:14:14] /a 1
[06/12/2012 20:14:14] /a 1
[06/12/2012 20:14:14] /a 1
[06/12/2012 20:14:14] /a 1
[06/12/2012 20:14:14] /a 1
[06/12/2012 20:14:14] /a 1
[06/12/2012 20:14:14] /a 1
[06/12/2012 20:14:14] /a 1
[06/12/2012 20:14:14] /a 1
[06/12/2012 20:14:14] /a 1
[06/12/2012 20:14:14] /a 1
[06/12/2012 20:14:14] /a 1
[06/12/2012 20:14:14] /a 1
[06/12/2012 20:14:15] /a 1
[06/12/2012 20:14:15] /a 1
[06/12/2012 20:14:15] /a 1
[06/12/2012 20:14:15] /a 1
[06/12/2012 20:14:15] /a 1
[06/12/2012 20:14:15] /a 1
[06/12/2012 20:14:15] /a 1
[06/12/2012 20:14:15] /a 1
[06/12/2012 20:14:15] /a 1
[06/12/2012 20:14:15] /a 1
[06/12/2012 20:14:15] /a 1
[06/12/2012 20:14:15] /a 1
[06/12/2012 20:14:15] /a 1
[06/12/2012 20:14:15] /a 1
[06/12/2012 20:14:15] /a 1
[06/12/2012 20:14:16] /a 1
[06/12/2012 20:14:16] /a 1
[06/12/2012 20:14:16] /a 1
[06/12/2012 20:14:16] /a 1
[06/12/2012 20:14:16] /a 1
[06/12/2012 20:14:16] /a 1
[06/12/2012 20:14:16] /a 1
[06/12/2012 20:14:16] /a 1
[06/12/2012 20:14:16] /a 1
[06/12/2012 20:14:16] /a 1
[06/12/2012 20:14:16] /a 1
[06/12/2012 20:14:16] /a 1
[06/12/2012 20:14:16] /a 1
[06/12/2012 20:14:16] /a 1
[06/12/2012 20:14:17] /a 1
[06/12/2012 20:14:17] /a 1
[06/12/2012 20:14:17] /a 1
[06/12/2012 20:14:17] /a 1
[06/12/2012 20:14:17] /a 1
[06/12/2012 20:14:17] /a 1
[06/12/2012 20:14:17] /a 1
[06/12/2012 20:14:17] /a 1
[06/12/2012 20:14:17] /a 1
[06/12/2012 20:14:17] /a 1
[06/12/2012 20:14:17] /a 1
[06/12/2012 20:14:17] /a 1
[06/12/2012 20:14:17] /a 1
[06/12/2012 20:14:17] /a 1
[06/12/2012 20:14:17] /a 1
[06/12/2012 20:14:17] /a 1
[06/12/2012 20:14:18] /a 1
[06/12/2012 20:14:18] /a 1
[06/12/2012 20:14:18] /a 1
[06/12/2012 20:14:18] /a 1
[06/12/2012 20:14:18] /a 1
[06/12/2012 20:14:18] /a 1
[06/12/2012 20:14:18] /a 1
[06/12/2012 20:14:18] /a 1
[06/12/2012 20:14:18] /a 1
[06/12/2012 20:14:18] /a 1
[06/12/2012 20:14:18] /a 1
[06/12/2012 20:14:18] /a 1
[06/12/2012 20:14:18] /a 1
[06/12/2012 20:14:19] /a 1
[06/12/2012 20:14:19] /a 1
[06/12/2012 20:14:19] /a 1
[06/12/2012 20:14:19] /a 1
[06/12/2012 20:14:19] /a 1
[06/12/2012 20:14:19] /a 1
[06/12/2012 20:14:19] /a 1
[06/12/2012 20:14:20] /a 1
[06/12/2012 20:14:20] /a 1
[06/12/2012 20:14:20] /a 1
[06/12/2012 20:14:20] /a 1
[06/12/2012 20:14:20] /a 1
[06/12/2012 20:14:20] /a 1
[06/12/2012 20:14:20] /a 1
[06/12/2012 20:14:20] /a 1
[06/12/2012 20:14:20] /a 1
[06/12/2012 20:14:20] /a 1
[06/12/2012 20:14:20] /a 1
[06/12/2012 20:14:21] /a 1
[06/12/2012 20:14:21] /a 1
[06/12/2012 20:14:21] /a 1
[06/12/2012 20:14:21] /a 1
[06/12/2012 20:14:21] /a 1
[06/12/2012 20:14:52] /goto hydra
[06/12/2012 20:14:58] /a 1
[06/12/2012 20:28:32] /t
[06/12/2012 20:28:34] /a 1
[06/12/2012 20:28:34] /a 1
[06/12/2012 20:28:35] /a 1
[06/12/2012 20:28:35] /a 1
[06/12/2012 20:28:35] /a 1
[06/12/2012 20:28:35] /a 1
[06/12/2012 20:28:35] /a 1
[06/12/2012 20:28:35] /a 1
[06/12/2012 20:28:35] /a 1
[06/12/2012 20:28:35] /a 1
[06/12/2012 20:28:35] /a 1
[06/12/2012 20:28:36] /a 1
[06/12/2012 20:28:36] /a 1
[06/12/2012 20:28:36] /a 1
[06/12/2012 20:28:36] /a 1
[06/12/2012 20:28:36] /a 1
[06/12/2012 20:28:36] /a 1
[06/12/2012 20:28:36] /a 1
[06/12/2012 20:28:36] /a 1
[06/12/2012 20:28:36] /a 1
[06/12/2012 20:28:36] /a 1
[06/12/2012 20:28:36] /a 1
[06/12/2012 20:28:36] /a 1
[06/12/2012 20:28:36] /a 1
[06/12/2012 20:28:36] /a 1
[06/12/2012 20:28:37] /a 1
[06/12/2012 20:28:37] /a 1
[06/12/2012 20:28:37] /a 1
[06/12/2012 20:28:37] /a 1
[06/12/2012 20:28:37] /a 1
[06/12/2012 20:28:37] /a 1
[06/12/2012 20:28:37] /a 1
[06/12/2012 20:28:37] /a 1
[06/12/2012 20:28:37] /a 1
[06/12/2012 20:28:37] /a 1
[06/12/2012 20:28:37] /a 1
[06/12/2012 20:28:37] /a 1
[06/12/2012 20:28:37] /a 1
[06/12/2012 20:28:38] /a 1
[06/12/2012 20:28:38] /a 1
[06/12/2012 20:28:38] /a 1
[06/12/2012 20:28:38] /a 1
[06/12/2012 20:28:38] /a 1
[06/12/2012 20:28:38] /a 1
[06/12/2012 20:28:38] /a 1
[06/12/2012 20:28:38] /a 1
[06/12/2012 20:28:38] /a 1
[06/12/2012 20:28:38] /a 1
[06/12/2012 20:28:38] /a 1
[06/12/2012 20:28:38] /a 1
[06/12/2012 20:28:38] /a 1
[06/12/2012 20:28:38] /a 1
[06/12/2012 20:28:39] /a 1
[06/12/2012 20:28:39] /a 1
[06/12/2012 20:28:39] /a 1
[06/12/2012 20:28:39] /a 1
[06/12/2012 20:28:39] /a 1
[06/12/2012 20:30:30] /t
[06/12/2012 20:33:46] /t
[06/12/2012 20:36:55] /goto hydra
[06/12/2012 20:37:04] /a 1
[06/12/2012 20:44:37] /goto hydra
[06/12/2012 20:44:44] /a 1
[06/12/2012 21:50:13] /down
[06/12/2012 21:50:50] /c magictower
[06/12/2012 21:51:02] /c magicthower
[06/12/2012 21:51:04] /t
[06/12/2012 21:52:04] /a 1
[06/12/2012 21:52:26] /a 1
[06/12/2012 21:52:26] /a 1
[06/12/2012 22:06:32] /a 1
[06/12/2012 22:07:08] /t
[06/12/2012 22:07:13] /goto hydra
